#PLT-Keyword;PlannedTransportID;PlannedTransportCode;PathSegmentCode;Departure;Arrival;Capacity;TotalPrice;Unnamed: 8;CapacityAbsDiff001;CapacityAbsDiff002;CapacityAbsDiff003;CapacityAbsDiff004;CapacityAbsDiff005;CapacityAbsDiff006;CapacityAbsDiff007;CapacityAbsDiff008;CapacityAbsDiff009;CapacityAbsDiff010
PLT;31;transport0031;GER01PLANTGER02TERM-TRUCK-01;14/07/2025-00:00:00;16/07/2025-00:00:00;23.0;2070.0;;6.0;2.0;1.0;3.0;1.0;0.0;5.0;-1.0;;4.0
PLT;32;transport0032;GER01PLANTGER02TERM-TRUCK-01;15/07/2025-00:00:00;17/07/2025-00:00:00;18.0;1620.0;;1.0;3.0;-1.0;6.0;0.0;;5.0;;4.0;3.0
PLT;33;transport0033;GER01PLANTGER02TERM-TRUCK-01;16/07/2025-00:00:00;18/07/2025-00:00:00;9.0;810.0;;-1.0;;;3.0;-1.0;4.0;1.0;5.0;2.0;3.0
PLT;34;transport0034;GER01PLANTGER02TERM-TRUCK-01;17/07/2025-00:00:00;19/07/2025-00:00:00;9.0;810.0;;2.0;2.0;3.0;1.0;2.0;3.0;0.0;5.0;0.0;0.0
PLT;35;transport0035;GER01PLANTGER02TERM-TRUCK-01;18/07/2025-00:00:00;20/07/2025-00:00:00;18.0;1620.0;;3.0;3.0;4.0;1.0;-1.0;4.0;-1.0;6.0;4.0;2.0
PLT;36;transport0036;GER01PLANTGER02TERM-TRUCK-01;21/07/2025-00:00:00;23/07/2025-00:00:00;23.0;2070.0;;2.0;7.0;4.0;-3.0;7.0;7.0;-2.0;5.0;8.0;
PLT;37;transport0037;GER01PLANTGER02TERM-TRUCK-01;22/07/2025-00:00:00;24/07/2025-00:00:00;18.0;1620.0;;0.0;1.0;2.0;1.0;-1.0;4.0;5.0;2.0;1.0;
PLT;38;transport0038;GER01PLANTGER02TERM-TRUCK-01;23/07/2025-00:00:00;25/07/2025-00:00:00;9.0;810.0;;0.0;3.0;2.0;5.0;2.0;1.0;0.0;-2.0;0.0;4.0
PLT;39;transport0039;GER01PLANTGER02TERM-TRUCK-01;24/07/2025-00:00:00;26/07/2025-00:00:00;9.0;810.0;;-2.0;-1.0;0.0;2.0;-1.0;-1.0;3.0;3.0;2.0;4.0
PLT;40;transport0040;GER01PLANTGER02TERM-TRUCK-01;25/07/2025-00:00:00;27/07/2025-00:00:00;18.0;1620.0;;3.0;-1.0;2.0;1.0;1.0;3.0;0.0;1.0;-2.0;5.0
PLT;41;transport0041;GER01PLANTGER02TERM-TRUCK-01;28/07/2025-00:00:00;30/07/2025-00:00:00;23.0;2070.0;;;-2.0;2.0;1.0;0.0;0.0;2.0;0.0;-3.0;8.0
PLT;42;transport0042;GER01PLANTGER02TERM-TRUCK-01;29/07/2025-00:00:00;31/07/2025-00:00:00;18.0;1620.0;;2.0;2.0;0.0;2.0;7.0;2.0;-1.0;6.0;2.0;7.0
PLT;43;transport0043;GER01PLANTGER02TERM-TRUCK-01;30/07/2025-00:00:00;01/08/2025-00:00:00;9.0;810.0;;4.0;2.0;-2.0;0.0;-1.0;4.0;1.0;0.0;1.0;0.0
PLT;44;transport0044;GER01PLANTGER02TERM-TRUCK-01;31/07/2025-00:00:00;02/08/2025-00:00:00;9.0;810.0;;0.0;3.0;1.0;0.0;0.0;-1.0;-1.0;-2.0;5.0;-1.0
PLT;45;transport0045;GER01PLANTGER02TERM-TRUCK-01;01/08/2025-00:00:00;03/08/2025-00:00:00;18.0;1620.0;;6.0;7.0;6.0;2.0;-1.0;3.0;4.0;2.0;2.0;3.0
PLT;46;transport0046;GER01PLANTGER02TERM-TRUCK-01;04/08/2025-00:00:00;06/08/2025-00:00:00;23.0;2070.0;;;0.0;-1.0;-1.0;;-1.0;2.0;1.0;0.0;
PLT;47;transport0047;GER01PLANTGER02TERM-TRUCK-01;05/08/2025-00:00:00;07/08/2025-00:00:00;18.0;1620.0;;7.0;-1.0;3.0;3.0;2.0;3.0;6.0;1.0;2.0;4.0
PLT;48;transport0048;GER01PLANTGER02TERM-TRUCK-01;06/08/2025-00:00:00;08/08/2025-00:00:00;9.0;810.0;;2.0;3.0;1.0;3.0;-1.0;-2.0;-1.0;1.0;2.0;4.0
PLT;49;transport0049;GER01PLANTGER02TERM-TRUCK-01;07/08/2025-00:00:00;09/08/2025-00:00:00;9.0;810.0;;2.0;-1.0;-2.0;3.0;5.0;5.0;-2.0;3.0;1.0;5.0
PLT;50;transport0050;GER01PLANTGER02TERM-TRUCK-01;08/08/2025-00:00:00;10/08/2025-00:00:00;18.0;1620.0;;7.0;2.0;1.0;2.0;4.0;2.0;0.0;1.0;1.0;2.0
PLT;51;transport0051;GER01PLANTGER02TERM-TRUCK-01;11/08/2025-00:00:00;13/08/2025-00:00:00;23.0;2070.0;;6.0;2.0;3.0;1.0;2.0;-1.0;0.0;1.0;-2.0;7.0
PLT;52;transport0052;GER01PLANTGER02TERM-TRUCK-01;12/08/2025-00:00:00;14/08/2025-00:00:00;18.0;1620.0;;2.0;-1.0;-1.0;2.0;2.0;-1.0;6.0;1.0;8.0;0.0
PLT;53;transport0053;GER01PLANTGER02TERM-TRUCK-01;13/08/2025-00:00:00;15/08/2025-00:00:00;9.0;810.0;;3.0;0.0;0.0;-2.0;2.0;5.0;1.0;0.0;3.0;
PLT;54;transport0054;GER01PLANTGER02TERM-TRUCK-01;14/08/2025-00:00:00;16/08/2025-00:00:00;9.0;810.0;;-1.0;5.0;4.0;2.0;-2.0;-2.0;1.0;2.0;-2.0;
PLT;55;transport0055;GER01PLANTGER02TERM-TRUCK-01;15/08/2025-00:00:00;17/08/2025-00:00:00;18.0;1620.0;;-2.0;-1.0;2.0;3.0;2.0;7.0;-1.0;0.0;-1.0;2.0
PLT;56;transport0056;GER01PLANTGER02TERM-TRUCK-01;18/08/2025-00:00:00;20/08/2025-00:00:00;23.0;2070.0;;0.0;-1.0;;1.0;;0.0;0.0;2.0;1.0;
PLT;57;transport0057;GER01PLANTGER02TERM-TRUCK-01;19/08/2025-00:00:00;21/08/2025-00:00:00;18.0;1620.0;;6.0;;5.0;-1.0;;1.0;2.0;0.0;2.0;3.0
PLT;58;transport0058;GER01PLANTGER02TERM-TRUCK-01;20/08/2025-00:00:00;22/08/2025-00:00:00;9.0;810.0;;;2.0;3.0;2.0;5.0;0.0;3.0;1.0;5.0;5.0
PLT;59;transport0059;GER01PLANTGER02TERM-TRUCK-01;21/08/2025-00:00:00;23/08/2025-00:00:00;9.0;810.0;;5.0;5.0;2.0;3.0;0.0;2.0;2.0;-2.0;0.0;2.0
PLT;60;transport0060;GER01PLANTGER02TERM-TRUCK-01;22/08/2025-00:00:00;24/08/2025-00:00:00;18.0;1620.0;;2.0;3.0;7.0;0.0;5.0;-2.0;1.0;7.0;0.0;6.0
PLT;61;transport0061;GER01PLANTGER02TERM-TRUCK-01;25/08/2025-00:00:00;27/08/2025-00:00:00;23.0;2070.0;;-2.0;;;5.0;4.0;2.0;;1.0;2.0;5.0
PLT;62;transport0062;GER01PLANTGER02TERM-TRUCK-01;26/08/2025-00:00:00;28/08/2025-00:00:00;18.0;1620.0;;4.0;2.0;7.0;-2.0;3.0;7.0;6.0;;3.0;1.0
PLT;63;transport0063;GER01PLANTGER02TERM-TRUCK-01;27/08/2025-00:00:00;29/08/2025-00:00:00;9.0;810.0;;0.0;5.0;0.0;-1.0;3.0;3.0;-1.0;4.0;0.0;2.0
PLT;64;transport0064;GER01PLANTGER02TERM-TRUCK-01;28/08/2025-00:00:00;30/08/2025-00:00:00;9.0;810.0;;-1.0;3.0;1.0;1.0;3.0;3.0;5.0;1.0;2.0;2.0
PLT;65;transport0065;GER01PLANTGER02TERM-TRUCK-01;29/08/2025-00:00:00;31/08/2025-00:00:00;18.0;1620.0;;7.0;3.0;1.0;2.0;1.0;3.0;7.0;3.0;3.0;-2.0
PLT;66;transport0066;GER01PLANTGER02TERM-TRAIN-01;03/06/2025-00:00:00;06/06/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
PLT;67;transport0067;GER01PLANTGER02TERM-TRAIN-01;05/06/2025-00:00:00;08/06/2025-00:00:00;14.0;0.0;;;1.0;1.0;1.0;1.0;;1.0;1.0;;1.0
PLT;68;transport0068;GER01PLANTGER02TERM-TRAIN-01;10/06/2025-00:00:00;13/06/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;
PLT;69;transport0069;GER01PLANTGER02TERM-TRAIN-01;12/06/2025-00:00:00;15/06/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0
PLT;70;transport0070;GER01PLANTGER02TERM-TRAIN-01;17/06/2025-00:00:00;20/06/2025-00:00:00;14.0;0.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
PLT;71;transport0071;GER01PLANTGER02TERM-TRAIN-01;19/06/2025-00:00:00;22/06/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0
PLT;72;transport0072;GER01PLANTGER02TERM-TRAIN-01;24/06/2025-00:00:00;27/06/2025-00:00:00;14.0;0.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLT;73;transport0073;GER01PLANTGER02TERM-TRAIN-01;26/06/2025-00:00:00;29/06/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLT;74;transport0074;GER01PLANTGER02TERM-TRAIN-01;01/07/2025-00:00:00;04/07/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0
PLT;75;transport0075;GER01PLANTGER02TERM-TRAIN-01;03/07/2025-00:00:00;06/07/2025-00:00:00;14.0;0.0;;;1.0;1.0;;1.0;;1.0;1.0;1.0;1.0
PLT;76;transport0076;GER01PLANTGER02TERM-TRAIN-01;08/07/2025-00:00:00;11/07/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;;1.0;;1.0;1.0;1.0;1.0
PLT;77;transport0077;GER01PLANTGER02TERM-TRAIN-01;10/07/2025-00:00:00;13/07/2025-00:00:00;14.0;0.0;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLT;78;transport0078;GER01PLANTGER02TERM-TRAIN-01;15/07/2025-00:00:00;18/07/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;
PLT;79;transport0079;GER01PLANTGER02TERM-TRAIN-01;17/07/2025-00:00:00;20/07/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;;1.0
PLT;80;transport0080;GER01PLANTGER02TERM-TRAIN-01;22/07/2025-00:00:00;25/07/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;;1.0;;1.0;1.0;1.0
PLT;81;transport0081;GER01PLANTGER02TERM-TRAIN-01;24/07/2025-00:00:00;27/07/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0
PLT;82;transport0082;GER01PLANTGER02TERM-TRAIN-01;29/07/2025-00:00:00;01/08/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;;1.0;1.0;;1.0;;1.0
PLT;83;transport0083;GER01PLANTGER02TERM-TRAIN-01;31/07/2025-00:00:00;03/08/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0
PLT;84;transport0084;GER01PLANTGER02TERM-TRAIN-01;05/08/2025-00:00:00;08/08/2025-00:00:00;14.0;0.0;;1.0;;1.0;1.0;;;1.0;1.0;1.0;1.0
PLT;85;transport0085;GER01PLANTGER02TERM-TRAIN-01;07/08/2025-00:00:00;10/08/2025-00:00:00;14.0;0.0;;;1.0;;1.0;1.0;1.0;;;;1.0
PLT;86;transport0086;GER01PLANTGER02TERM-TRAIN-01;12/08/2025-00:00:00;15/08/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
PLT;87;transport0087;GER01PLANTGER02TERM-TRAIN-01;14/08/2025-00:00:00;17/08/2025-00:00:00;14.0;0.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLT;88;transport0088;GER01PLANTGER02TERM-TRAIN-01;19/08/2025-00:00:00;22/08/2025-00:00:00;14.0;0.0;;1.0;;1.0;1.0;1.0;;1.0;1.0;1.0;1.0
PLT;89;transport0089;GER01PLANTGER02TERM-TRAIN-01;21/08/2025-00:00:00;24/08/2025-00:00:00;14.0;0.0;;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLT;90;transport0090;GER01PLANTGER02TERM-TRAIN-01;26/08/2025-00:00:00;29/08/2025-00:00:00;14.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;
PLT;91;transport0091;GER01PLANTGER02TERM-TRAIN-01;28/08/2025-00:00:00;31/08/2025-00:00:00;14.0;0.0;;1.0;;1.0;1.0;1.0;;1.0;;1.0;1.0
PLT;92;transport0092;GER01PLANTBEL01TERM-TRUCK-01;02/06/2025-00:00:00;04/06/2025-00:00:00;12.0;1080.0;;10.0;7.0;4.0;4.0;12.0;15.0;6.0;11.0;13.0;2.0
PLT;93;transport0093;GER01PLANTBEL01TERM-TRUCK-01;03/06/2025-00:00:00;05/06/2025-00:00:00;12.0;1080.0;;12.0;5.0;4.0;4.0;3.0;15.0;12.0;13.0;11.0;6.0
PLT;94;transport0094;GER01PLANTBEL01TERM-TRUCK-01;04/06/2025-00:00:00;06/06/2025-00:00:00;15.0;1350.0;;5.0;;4.0;3.0;5.0;17.0;;;;
PLT;95;transport0095;GER01PLANTBEL01TERM-TRUCK-01;05/06/2025-00:00:00;07/06/2025-00:00:00;12.0;1080.0;;5.0;;5.0;5.0;;;6.0;;;10.0
PLT;96;transport0096;GER01PLANTBEL01TERM-TRUCK-01;06/06/2025-00:00:00;08/06/2025-00:00:00;3.0;270.0;;1.0;;1.0;3.0;1.0;1.0;2.0;3.0;4.0;2.0
PLT;97;transport0097;GER01PLANTBEL01TERM-TRUCK-01;09/06/2025-00:00:00;11/06/2025-00:00:00;12.0;1080.0;;3.0;16.0;6.0;6.0;9.0;2.0;12.0;13.0;13.0;12.0
PLT;98;transport0098;GER01PLANTBEL01TERM-TRUCK-01;10/06/2025-00:00:00;12/06/2025-00:00:00;12.0;1080.0;;6.0;10.0;6.0;;;2.0;3.0;16.0;14.0;6.0
PLT;99;transport0099;GER01PLANTBEL01TERM-TRUCK-01;11/06/2025-00:00:00;13/06/2025-00:00:00;15.0;1350.0;;;;;13.0;;;13.0;;;
PLT;100;transport0100;GER01PLANTBEL01TERM-TRUCK-01;12/06/2025-00:00:00;14/06/2025-00:00:00;12.0;1080.0;;13.0;;16.0;6.0;12.0;;5.0;12.0;10.0;3.0
PLT;101;transport0101;GER01PLANTBEL01TERM-TRUCK-01;13/06/2025-00:00:00;15/06/2025-00:00:00;3.0;270.0;;2.0;4.0;2.0;0.0;7.0;6.0;;4.0;2.0;6.0
PLT;102;transport0102;GER01PLANTBEL01TERM-TRUCK-01;16/06/2025-00:00:00;18/06/2025-00:00:00;12.0;1080.0;;16.0;11.0;4.0;6.0;15.0;13.0;6.0;4.0;;6.0
PLT;103;transport0103;GER01PLANTBEL01TERM-TRUCK-01;17/06/2025-00:00:00;19/06/2025-00:00:00;12.0;1080.0;;4.0;10.0;3.0;6.0;13.0;15.0;6.0;;11.0;
PLT;104;transport0104;GER01PLANTBEL01TERM-TRUCK-01;18/06/2025-00:00:00;20/06/2025-00:00:00;15.0;1350.0;;;;;;;;;;13.0;19.0
PLT;105;transport0105;GER01PLANTBEL01TERM-TRUCK-01;19/06/2025-00:00:00;21/06/2025-00:00:00;12.0;1080.0;;4.0;;13.0;10.0;7.0;10.0;10.0;11.0;6.0;4.0
PLT;106;transport0106;GER01PLANTBEL01TERM-TRUCK-01;20/06/2025-00:00:00;22/06/2025-00:00:00;3.0;270.0;;3.0;1.0;0.0;3.0;1.0;;2.0;;0.0;
PLT;107;transport0107;GER01PLANTBEL01TERM-TRUCK-01;23/06/2025-00:00:00;25/06/2025-00:00:00;12.0;1080.0;;11.0;16.0;14.0;11.0;3.0;6.0;14.0;14.0;;6.0
PLT;108;transport0108;GER01PLANTBEL01TERM-TRUCK-01;24/06/2025-00:00:00;26/06/2025-00:00:00;12.0;1080.0;;15.0;13.0;5.0;;;7.0;5.0;13.0;6.0;7.0
PLT;109;transport0109;GER01PLANTBEL01TERM-TRUCK-01;25/06/2025-00:00:00;27/06/2025-00:00:00;15.0;1350.0;;4.0;;3.0;;;13.0;;;;
PLT;110;transport0110;GER01PLANTBEL01TERM-TRUCK-01;26/06/2025-00:00:00;28/06/2025-00:00:00;12.0;1080.0;;;14.0;;11.0;10.0;3.0;5.0;3.0;11.0;10.0
PLT;111;transport0111;GER01PLANTBEL01TERM-TRUCK-01;27/06/2025-00:00:00;29/06/2025-00:00:00;3.0;270.0;;3.0;1.0;6.0;5.0;3.0;2.0;;1.0;4.0;7.0
PLT;112;transport0112;GER01PLANTBEL01TERM-TRUCK-01;30/06/2025-00:00:00;02/07/2025-00:00:00;12.0;1080.0;;7.0;;;10.0;15.0;5.0;11.0;4.0;11.0;5.0
PLT;113;transport0113;GER01PLANTBEL01TERM-TRUCK-01;01/07/2025-00:00:00;03/07/2025-00:00:00;12.0;1080.0;;7.0;10.0;14.0;10.0;16.0;5.0;11.0;13.0;6.0;6.0
PLT;114;transport0114;GER01PLANTBEL01TERM-TRUCK-01;02/07/2025-00:00:00;04/07/2025-00:00:00;15.0;1350.0;;;;;;;;;16.0;8.0;
PLT;115;transport0115;GER01PLANTBEL01TERM-TRUCK-01;03/07/2025-00:00:00;05/07/2025-00:00:00;12.0;1080.0;;14.0;15.0;14.0;;2.0;15.0;;3.0;5.0;5.0
PLT;116;transport0116;GER01PLANTBEL01TERM-TRUCK-01;04/07/2025-00:00:00;06/07/2025-00:00:00;3.0;270.0;;3.0;2.0;4.0;4.0;;1.0;2.0;1.0;3.0;1.0
PLT;117;transport0117;GER01PLANTBEL01TERM-TRUCK-01;07/07/2025-00:00:00;09/07/2025-00:00:00;12.0;1080.0;;5.0;15.0;10.0;15.0;4.0;11.0;;5.0;4.0;12.0
PLT;118;transport0118;GER01PLANTBEL01TERM-TRUCK-01;08/07/2025-00:00:00;10/07/2025-00:00:00;12.0;1080.0;;;3.0;6.0;15.0;11.0;6.0;;6.0;3.0;11.0
PLT;119;transport0119;GER01PLANTBEL01TERM-TRUCK-01;09/07/2025-00:00:00;11/07/2025-00:00:00;15.0;1350.0;;;;6.0;19.0;12.0;;;;;5.0
PLT;120;transport0120;GER01PLANTBEL01TERM-TRUCK-01;10/07/2025-00:00:00;12/07/2025-00:00:00;12.0;1080.0;;11.0;;2.0;6.0;2.0;4.0;13.0;9.0;16.0;5.0
PLT;121;transport0121;GER01PLANTBEL01TERM-TRUCK-01;11/07/2025-00:00:00;13/07/2025-00:00:00;3.0;270.0;;0.0;7.0;3.0;1.0;1.0;3.0;5.0;6.0;;2.0
PLT;122;transport0122;GER01PLANTBEL01TERM-TRUCK-01;14/07/2025-00:00:00;16/07/2025-00:00:00;12.0;1080.0;;12.0;15.0;4.0;4.0;5.0;14.0;9.0;11.0;;6.0
PLT;123;transport0123;GER01PLANTBEL01TERM-TRUCK-01;15/07/2025-00:00:00;17/07/2025-00:00:00;12.0;1080.0;;15.0;12.0;3.0;;5.0;6.0;13.0;2.0;;7.0
PLT;124;transport0124;GER01PLANTBEL01TERM-TRUCK-01;16/07/2025-00:00:00;18/07/2025-00:00:00;15.0;1350.0;;;;;;4.0;;;;;
PLT;125;transport0125;GER01PLANTBEL01TERM-TRUCK-01;17/07/2025-00:00:00;19/07/2025-00:00:00;12.0;1080.0;;6.0;12.0;12.0;14.0;;6.0;6.0;6.0;15.0;
PLT;126;transport0126;GER01PLANTBEL01TERM-TRUCK-01;18/07/2025-00:00:00;20/07/2025-00:00:00;3.0;270.0;;0.0;2.0;;0.0;6.0;4.0;4.0;3.0;5.0;4.0
PLT;127;transport0127;GER01PLANTBEL01TERM-TRUCK-01;21/07/2025-00:00:00;23/07/2025-00:00:00;12.0;1080.0;;3.0;;15.0;15.0;15.0;;7.0;11.0;12.0;9.0
PLT;128;transport0128;GER01PLANTBEL01TERM-TRUCK-01;22/07/2025-00:00:00;24/07/2025-00:00:00;12.0;1080.0;;12.0;13.0;6.0;10.0;6.0;12.0;6.0;16.0;12.0;12.0
PLT;129;transport0129;GER01PLANTBEL01TERM-TRUCK-01;23/07/2025-00:00:00;25/07/2025-00:00:00;15.0;1350.0;;18.0;;;;;18.0;;6.0;;
